Time,Deep,Length,HRT,COD,TN,NH4-N,C/N,c(A),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RR(NH4-N)
84,43,43,72,207.01,42.62,41.27,4.86,0,0,0,0,16.827,1.0233,10.773,3.411,0.1491
84,60,60,72,207.01,42.62,41.27,4.86,0,0,0,0,18.2483,10.1477,6.9072,3.7521,0.1491
84,23,23,72,207.01,42.62,41.27,4.86,0,0,0,0,19.309,0,3.919,2.357,0.1491
84,43,43,72,207.01,42.62,41.27,4.86,0,0,0,0,10.421,0,5.253,2.3,0.1491
84,60,60,72,207.01,42.62,41.27,4.86,0,0,0,0,9.569,0,3.408,3.691,0.1491
30,25,75,6,44.85,12.32,4.85,3.64,0,0,0,0,61.2185,0,18.2777,0,0.2708
30,50,50,6,44.85,12.32,4.85,3.64,0,0,0,0,44.383,0,12.6658,1.8811,0.2708
30,75,25,6,44.85,12.32,4.85,3.64,0,0,0,0,47.6435,0,8.1513,1.7243,0.2708
165,17.5,17.5,72,60,20,8,3,0,0,0,0,51.977,0,5.447,0,0.81
165,17.5,17.5,72,60,20,8,3,0,0,0,0,34.597,0,7.294,0,0
165,17.5,17.5,72,60,20,8,3,0,0,0,0,19.687,0,9.879,0,0.68
165,17.5,17.5,72,60,20,8,3,0,0,0,0,24.05,0,6.947,0,0.39
50,40,20,72,60.06,35.83,4.86,1.68,0,0,0,0,27.0568,8.6193,6.6,5.1031,0.9309
50,20,40,72,60.06,35.83,4.86,1.68,0,0,0,0,17.1306,6.3166,6.6,4.9164,0.9309
210,40,40,48,570.32,32.08,20.14,17.78,0,0,0,0,57.292,3.778,10.26,4.355,0.9757
210,40,40,48,570.32,32.08,20.14,17.78,0,0,0,0,51.073,2.204,4.093,2.204,0.9813
210,40,40,48,570.32,32.08,20.14,17.78,0,0,0,0,58.263,11.157,5.741,7.006,0.9811
210,40,40,48,570.32,32.08,20.14,17.78,0,0,0,0,44.225,10.915,4.303,10.076,0.9791
